Donor ID,Donor First Name,Donor Last Name,Email,Gender,Phone,Employer,Job Title,Age,Home Address,City,State,Zip,Volunteered in the past, 2019 Gift , 2018 Gift , 2017 Gift , 2016 Gift , 2015 Gift , 2014 Gift , 2013 Gift , 2012 Gift , 2011 Gift 
22,Florence,Pope,Florence_Pope8576@zorer.org,Female,0-560-300-0621,Global Print,Fabricator,72,6648 Commercial  Rue,Berlin,Kentucky,84942,FALSE,,," $36,374.46 ",,," $95,277.11 ",,," $56,253.34 "
23,Joy,Ballard,Joy_Ballard1824@bungar.biz,Female,0-046-310-2602,Telekom,Dentist,45,7949 Linden Tunnel,Rochester,Illinois,77282,TRUE,,," $35,953.51 ",,," $83,250.75 ",,," $73,884.29 "
24,Mandy,Eaton,Mandy_Eaton143@womeona.net,Female,5-586-671-8571,Team Guard SRL,Biologist,44,9027 Oxford Walk,Escondido,California,20106,TRUE,,," $97,253.53 ",,," $74,104.67 ",,," $24,192.47 "
25,Davina,Boyle,Davina_Boyle1203@deons.tech,Female,1-357-273-8500,Team Guard SRL,Investment  Advisor,19,8292 Sherwood  Road,Kansas City,Nebraska,28377,TRUE,,," $34,021.79 ",,," $97,476.68 ",,," $88,010.27 "
26,Elise,Saunders,Elise_Saunders4549@bulaffy.com,Female,3-371-627-1732,Comodo,Project Manager,25,6649 Erindale Rue,Valetta,Wyoming,77158,TRUE,,," $78,781.92 ",,," $86,178.76 ",,," $33,449.40 "
27,Lily,Long,Lily_Long9483@zorer.org,Female,3-807-621-7830,Vodafone,HR Coordinator,72,9789 Boldero   Walk,Phoenix,Indiana,25823,FALSE,,," $28,208.82 ",,," $64,204.62 ",,," $73,359.33 "
28,Sabina,Grady,Sabina_Grady3196@iatim.tech,Female,5-237-646-6546,CarMax,Front Desk Coordinator,56,3465 Abbey   Alley,Cincinnati,Washington,23896,TRUE," $85,951.86 "," $95,479.53 "," $45,831.92 ",,," $39,841.35 ",,," $88,245.40 "
29,Lucas,Crawford,Lucas_Crawford6137@dionrab.com,Male,8-640-204-5568,Boeing,Steward,57,1919 Canon Way,Kansas City,Texas,82682,FALSE," $37,786.08 "," $67,588.11 "," $67,350.49 ",,," $55,254.35 ",,," $75,138.65 "
30,Erin,Drummond,Erin_Drummond4767@fuliss.net,Female,5-101-872-5257,Leadertech Consulting,Health Educator,28,1021 Cliffords  Walk,Springfield,Arkansas,11129,FALSE," $34,217.37 "," $76,703.48 "," $98,017.81 ",,," $32,937.00 ",,," $64,833.79 "
31,Mason,Burge,Mason_Burge8612@qater.org,Male,6-872-630-6750,Comcast,Service Supervisor,73,9153 Carpenter Vale,Columbus,Montana,15406,FALSE," $8,495.31 "," $89,913.07 "," $1,021.76 ",,," $9,767.33 ",,," $14,729.58 "
32,Christine,Walsh,Christine_Walsh7317@ovock.tech,Female,0-426-427-3787,UPC,Biologist,35,7775 Caroline  Alley,Nashville,Hawaii,49017,TRUE," $34,367.79 "," $81,385.00 "," $55,195.83 ",,," $50,349.07 ",,," $95,312.27 "
33,Denny,Little,Denny_Little7363@vetan.org,Male,4-725-674-0147,Amazon.com,Investment  Advisor,45,3067 Baylis  Route,Glendale,Idaho,70685,FALSE," $88,539.38 "," $21,519.64 "," $84,344.43 ",,," $45,669.75 ",,," $67,780.68 "
34,Mabel,Ingham,Mabel_Ingham4870@elnee.tech,Female,3-860-318-5223,Team Guard SRL,Restaurant Manager,58,7349 King William  Pass,Oakland,Ohio,72730,FALSE," $40,624.35 "," $18,868.55 "," $72,845.42 ",,," $31,883.15 ",,," $30,989.66 "
35,Janelle,Poole,Janelle_Poole2598@deavo.com,Female,7-061-746-7138,Biolife Grup,Inspector,24,9630 Collingwood  Drive,Bakersfield,North Dakota,26246,FALSE," $15,751.35 "," $97,890.96 "," $9,705.33 ",,," $17,781.12 ",,," $34,737.93 "
36,Angelica,Foxley,Angelica_Foxley7104@sheye.org,Female,4-600-314-0705,DynCorp,Audiologist,30,9997 Buttonwood Tunnel,Arlington,Florida,91921,TRUE," $13,011.78 "," $79,384.21 "," $4,429.81 ",,," $43,224.04 ",,," $64,819.59 "
37,Aiden,Walsh,Aiden_Walsh3199@ubusive.com,Male,5-874-527-6648,21st Century Fox,Lecturer,72,3703 Abourne   Road,Milwaukee,Utah,36065,TRUE," $88,535.39 "," $43,116.69 "," $65,687.87 ",,," $29,804.93 ",,," $93,043.19 "
38,Matt,Drummond,Matt_Drummond5935@guentu.biz,Male,2-411-200-3121,Facebook,Restaurant Manager,20,4595 Coal Wharf  Vale,Columbus,Arizona,78768,TRUE," $17,252.69 "," $36,637.72 "," $81,463.48 ",,," $41,880.57 ",,," $17,885.36 "
39,Domenic,Wilde,Domenic_Wilde9828@gembat.biz,Male,1-414-421-3873,Telekom,Lecturer,21,7832 Queen Caroline   Tunnel,Otawa,California,72909,FALSE," $86,596.07 "," $13,131.97 "," $79,035.29 ",,," $97,064.05 ",,," $6,090.06 "
40,Louise,Gilmore,Louise_Gilmore9937@womeona.net,Female,5-815-874-3853,21st Century Fox,Lecturer,56,9727 Fairbairn  Alley,Jacksonville,Georgia,43457,FALSE," $35,831.08 "," $10,171.39 "," $18,149.92 ",,," $17,954.61 ",,," $33,518.18 "
41,Eduardo,Palmer,Eduardo_Palmer7131@vetan.org,Male,0-068-541-8458,Facebook,Design Engineer,43,8176 Erindale Boulevard,Venice,Michigan,56482,FALSE," $20,063.03 "," $60,270.47 "," $90,900.61 ",,," $16,323.89 ",,," $78,790.25 "
42,Rosie,Roscoe,Rosie_Roscoe2027@nickia.com,Female,4-061-410-6457,Apple Inc.,HR Coordinator,70,3211 Queen Crossroad,Oakland,Wisconsin,44712,FALSE," $4,243.35 "," $11,809.88 "," $8,957.62 ",,," $2,161.74 ",,," $50,954.38 "
43,Denis,Watson,Denis_Watson4031@hourpy.biz,Male,3-002-062-4315,AECOM,Biologist,72,4517 Linden Crossroad,Detroit,California,47810,FALSE," $76,149.71 "," $93,524.06 "," $45,286.28 ",,," $26,826.68 ",,," $90,356.81 "
44,George,Swan,George_Swan7405@womeona.net,Male,3-053-323-1485,CarMax,Software Engineer,45,1644 Queensberry  Pass,Rome,Massachussets,75362,FALSE," $87,010.33 "," $14,292.26 "," $2,490.69 ",,," $37,920.75 ",,," $9,034.20 "
45,Bryon,Dobson,Bryon_Dobson2040@naiker.biz,Male,4-463-777-8175,Zepter,Retail Trainee,26,952 Unwin  Rue,Boston,Oklahoma,32551,TRUE," $98,740.97 "," $62,408.04 "," $53,694.29 ",,," $81,112.32 ",,," $21,480.83 "
46,Anabelle,Cattell,Anabelle_Cattell6418@nanoff.biz,Female,2-682-624-0841,Carrefour,Lecturer,34,4011 Dunstans  Rue,Madison,Kentucky,82021,FALSE," $57,454.59 "," $54,360.46 "," $82,992.11 ",,," $98,138.75 ",,," $68,467.28 "
47,Ivy,Garcia,Ivy_Garcia6833@guentu.biz,Female,5-402-783-8611,Danone,Webmaster,37,9330 Clerkenwell Rue,Los Angeles,Virginia,96927,FALSE," $73,983.93 "," $4,577.77 "," $40,504.83 ",,," $86,983.74 ",,," $84,309.28 "
48,Elise,Edmonds,Elise_Edmonds1667@kideod.biz,Female,1-136-838-7565,Metro Cash&Carry,Loan Officer,56,8823 Bective  Lane,Chicago,Ohio,92095,FALSE," $12,932.74 ", $130.38 ," $40,911.19 ",,," $57,282.30 ",,," $27,759.67 "
49,Sara,Allen,Sara_Allen6528@ubusive.com,Female,2-715-814-3168,Leadertech Consulting,Web Developer,28,311 Longleigh   Avenue,Valetta,Illinois,14134,TRUE," $98,235.32 "," $63,921.66 "," $26,744.75 ",,," $27,731.24 ",,," $36,830.25 "
50,Manuel,King,Manuel_King6923@mafthy.com,Male,4-546-622-8618,Boeing,Associate Professor,72,9070 Magnolia Pass,Rome,Utah,71440,TRUE," $58,434.52 "," $21,599.36 "," $22,044.05 ",,," $78,448.15 ",,," $5,111.22 "
51,John,Clifford,John_Clifford3605@atink.com,Male,0-868-848-1312,Telekom,Call Center Representative,69,8903 Sherlock   Vale,Lyon,Maine,70310,FALSE," $83,685.17 "," $25,935.87 "," $50,229.32 ",,," $94,174.16 ",,," $25,801.06 "
52,Denny,Dempsey,Denny_Dempsey9514@ovock.tech,Male,5-463-104-0701,Biolife Grup,CNC Operator,61,3958 Fairbairn  Rue,Lincoln,Vermont,76949,TRUE," $55,801.98 "," $63,587.85 "," $9,573.05 ",,," $90,290.02 ",,," $62,661.75 "
53,Chad,Gilbert,Chad_Gilbert8989@gembat.biz,Male,3-438-741-2855,Erickson,Design Engineer,65,9220 Lexington Drive,Tokyo,West Virginia,32634,FALSE," $94,234.23 "," $61,595.18 "," $91,261.84 ",,," $19,058.65 ",,," $93,243.68 "
54,Hank,Noach,Hank_Noach1065@liret.org,Male,8-304-128-3624,Danone,Machine Operator,72,7628 Chantry   Way,Norfolk,New Mexico,54542,TRUE," $66,730.50 "," $96,436.15 "," $29,765.98 ",,," $43,516.18 ",,," $97,290.59 "
55,Carl,Matthews,Carl_Matthews2337@typill.biz,Male,0-223-056-8016,Leadertech Consulting,Design Engineer,56,3003 Ensign   Route,Salt Lake City,Tennessee,56673,FALSE," $1,728.16 "," $35,505.91 "," $5,434.10 ",,," $83,572.51 ",,," $75,857.75 "
56,Ryan,Hall,Ryan_Hall8616@twace.org,Male,2-887-452-1631,Erickson,Mobile Developer,25,1876 Berriman  Hill,Pittsburgh,South Dakota,45189,TRUE, $745.98 ," $11,292.15 "," $62,544.28 ",,," $77,658.13 ",,," $65,614.50 "
57,Hayden,Mcgregor,Hayden_Mcgregor5859@nimogy.biz,Male,0-683-016-1172,Leadertech Consulting,Clerk,24,9162 Victoria  Grove,Memphis,Ohio,42265,TRUE," $38,579.04 "," $81,871.47 "," $4,516.18 ",,," $24,376.78 ",,," $89,307.85 "
58,Ethan,Harvey,Ethan_Harvey2121@irrepsy.com,Male,3-158-053-3128,Vodafone,Baker,19,8805 Westcott  Vale,Lisbon,Virginia,96178,FALSE," $29,090.67 "," $64,428.77 "," $56,719.53 ",,," $64,245.62 ",,," $34,287.29 "
59,Sebastian,Cowan,Sebastian_Cowan9507@nanoff.biz,Male,8-002-784-1630,Metro Cash&Carry,HR Coordinator,54,5688 Fieldstone Route,Irving,North Dakota,54885,FALSE," $34,677.79 "," $17,151.87 "," $86,720.59 ",,," $39,546.16 ",,," $9,781.96 "
60,David,Callan,David_Callan1977@zorer.org,Male,7-046-876-5711,Zepter,Physician,27,3255 Angrave    Crossroad,Memphis,Florida,17056,FALSE," $71,544.22 "," $64,441.13 "," $43,568.22 ",,," $6,221.94 ",,," $69,467.78 "
61,Javier,Tait,Javier_Tait7809@muall.tech,Male,6-327-667-3180,ENEL,Dentist,56,7604 Andrews  Pass,Boston,Wisconsin,98644,FALSE," $27,835.27 "," $13,654.10 "," $5,681.61 ",,," $48,105.18 ",,," $85,831.57 "
62,Kimberly,Casey,Kimberly_Casey6841@eirey.tech,Female,0-223-625-3522,Team Guard SRL,Call Center Representative,73,6732 Coalecroft  Road,Oakland,New Mexico,89019,FALSE," $7,819.45 "," $18,584.54 "," $13,395.48 ",,," $27,448.29 ",,," $12,471.17 "
63,Daniel,Buckley,Daniel_Buckley3065@sveldo.biz,Male,8-401-023-5760,Amazon.com,Bookkeeper,58,3013 Ampton  Rue,Milwaukee,Oklahoma,84112,TRUE," $8,578.20 "," $28,572.28 "," $86,301.60 ",,," $26,967.01 ",,," $55,321.65 "
64,Skylar,Addley,Skylar_Addley652@atink.com,Female,6-345-432-8622,Demaco,Operator,29,6015 Union  Street,Reno,Arizona,59380,FALSE," $65,479.51 "," $13,043.04 "," $1,019.22 ",,," $46,898.88 ",,," $61,651.94 "
65,Josh,Hamilton,Josh_Hamilton4038@corti.com,Male,8-401-675-1424,Comcast,Electrician,55,2231 Elgood   Grove,Zurich,New Mexico,24945,FALSE," $25,383.20 "," $79,600.81 "," $26,486.95 ",,," $24,115.71 ",,," $30,842.35 "
66,Denis,Talbot,Denis_Talbot4838@eirey.tech,Male,6-585-883-0167,Global Print,Physician,71,3008 Linden Street,Scottsdale,Alaska,71182,FALSE," $57,497.74 "," $83,267.13 "," $10,091.97 ",,," $95,136.49 ",,," $78,756.07 "
67,Carla,Bailey,Carla_Bailey5278@extex.org,Female,0-514-655-5847,Facebook,Stockbroker,47,2012 Rosewood Street,Innsbruck,Oregon,62410,FALSE," $40,765.76 "," $84,148.38 "," $11,107.73 ",,," $17,014.54 ",,," $67,440.72 "
68,Chester,Edler,Chester_Edler1962@zorer.org,Male,1-314-343-5220,DynCorp,HR Coordinator,43,7651 Chelsea Manor  Crossroad,Bucharest,Iowa,74470,TRUE," $70,872.20 "," $14,526.33 "," $46,062.79 ",,," $68,600.13 ",,," $90,651.57 "
69,Charlize,Ashwell,Charlize_Ashwell6440@mafthy.com,Female,6-773-281-4806,Facebook,Paramedic,51,5473 Lincoln Street,Richmond,Wyoming,97339,FALSE," $29,571.87 "," $37,989.38 "," $27,997.06 ",,," $1,120.94 ",,," $64,484.51 "
70,Gil,Egerton,Gil_Egerton8174@famism.biz,Male,4-555-245-8235,Apple Inc.,Physician,57,9826 Dutton   Lane,Stockton,Massachussets,52339,FALSE," $42,442.69 "," $39,656.30 "," $72,028.25 ",,," $31,564.53 ",,," $50,409.99 "
71,Hayden,Craig,Hayden_Craig9194@infotech44.tech,Male,2-540-675-0037,Apple Inc.,Inspector,38,125 King Edward  Route,New York,Minnesota,39408,FALSE," $23,415.79 "," $98,502.52 "," $94,312.56 ",,," $53,467.09 ",,," $63,354.02 "
72,Oliver,Eastwood,Oliver_Eastwood1214@deons.tech,Male,8-227-275-3314,AECOM,Cashier,34,5711 Marina  Avenue,Jersey City,North Dakota,15126,FALSE," $68,525.79 "," $51,947.70 "," $37,801.78 ",,," $38,489.36 ",,," $62,739.29 "
73,Chris,Flanders,Chris_Flanders4696@deavo.com,Male,2-680-800-6448,Carrefour,Web Developer,32,9545 Becklow  Walk,Jacksonville,Kentucky,15914,FALSE," $35,586.43 "," $65,393.07 "," $19,295.89 ",,," $3,902.19 ",,," $13,932.69 "
74,Elena,Lloyd,Elena_Lloyd3861@vetan.org,Female,6-764-665-7566,It Smart Group,IT Support Staff,74,4346 Chatfield  Alley,San Francisco,North Carolina,11431,TRUE," $51,316.47 "," $2,110.62 "," $11,200.60 ",,," $51,252.00 ",,," $51,577.89 "
75,Eden,Ebbs,Eden_Ebbs9624@gembat.biz,Female,6-786-635-0625,Amazon.com,Ambulatory Nurse,62,1501 Dutton   Tunnel,Phoenix,Nevada,88566,FALSE," $80,572.28 "," $70,082.13 "," $20,556.92 ",,," $45,684.16 ",,," $84,960.69 "
76,Diane,Torres,Diane_Torres3049@mafthy.com,Female,3-343-703-3056,ExxonMobil,Stockbroker,50,2843 Jackson Tunnel,Salt Lake City,Indiana,59175,TRUE," $4,274.36 "," $58,224.18 "," $55,648.34 ",,," $14,643.87 ",,," $21,049.24 "
77,Kendra,Patel,Kendra_Patel9660@yahoo.com,Female,7-542-170-0718,Carrefour,Health Educator,49,9243 Arctic   Hill,Colorado Springs,Mississippi,51096,FALSE," $87,619.72 "," $12,644.81 "," $2,823.24 ",,," $46,088.98 ",,," $56,664.24 "
78,Rick,Grant,Rick_Grant2573@infotech44.tech,Male,4-831-315-4674,Coca-Cola Company,Health Educator,49,3528 Sheffield Alley,Salem,Illinois,77416,TRUE," $26,395.56 "," $91,366.56 "," $33,227.05 ",,," $50,739.80 ",,," $58,207.55 "
79,Noah,Reese,Noah_Reese7174@qater.org,Male,4-662-772-4530,It Smart Group,Front Desk Coordinator,38,2265 Jackson Street,Milwaukee,Texas,78646,FALSE," $24,120.02 "," $76,866.97 "," $51,995.09 ",,," $1,120.83 ",,," $41,973.59 "
80,Sofie,Farrant,Sofie_Farrant4417@sveldo.biz,Female,0-326-680-6661,Team Guard SRL,Business Broker,70,6278 Canon Avenue,Murfreesboro,New York,95386,TRUE," $33,511.14 "," $4,619.99 "," $59,586.99 ",,," $63,160.73 ",,," $65,034.70 "
81,Harry,Turner,Harry_Turner4396@dionrab.com,Male,8-774-681-5036,Facebook,Electrician,25,823 Fairview Boulevard,Tokyo,North Dakota,29204,TRUE," $12,247.02 "," $5,821.58 "," $80,283.29 ",,," $45,066.34 ",,," $91,028.53 "
82,Harvey,Wigley,Harvey_Wigley9982@muall.tech,Male,4-664-537-2828,Vodafone,Design Engineer,24,5909 King Edward  Road,Quebec,Michigan,79478,TRUE," $93,738.73 "," $26,003.46 "," $81,637.96 ",,," $23,946.28 ",,," $9,265.83 "
83,Eduardo,Cork,Eduardo_Cork5390@bulaffy.com,Male,0-472-247-7228,Leadertech Consulting,Lecturer,42,6886 Norland  Hill,Amarillo,Kansas,61588,FALSE," $1,169.99 "," $77,727.24 "," $20,413.65 ",,," $32,793.77 ",,," $92,193.86 "
84,Deborah,Potts,Deborah_Potts9236@supunk.biz,Female,3-522-633-2226,Demaco,Bellman,58,9401 Linden Vale,Oklahoma City,Tennessee,55514,FALSE," $8,455.03 "," $51,864.54 "," $69,735.68 ",,," $72,532.43 ",,," $11,016.49 "
85,Selena,Cork,Selena_Cork1874@elnee.tech,Female,5-581-227-8705,Leadertech Consulting,Treasurer,47,5328 Magnolia Crossroad,San Antonio,Illinois,38194,TRUE," $61,360.13 "," $32,195.06 "," $64,133.86 ",,," $87,098.86 ",,," $18,880.49 "
86,Bob,Richardson,Bob_Richardson9136@cispeto.com,Male,3-121-771-0242,21st Century Fox,Treasurer,52,9765 Railroad Pass,Kansas City,North Dakota,40140,TRUE," $75,624.98 "," $30,436.35 "," $36,545.92 ",,," $78,502.00 ",,," $61,183.90 "
87,Josh,Lakey,Josh_Lakey2229@acrit.org,Male,3-245-771-3177,Team Guard SRL,Retail Trainee,41,5340 Clavell   Route,Tulsa,Georgia,92739,TRUE," $22,483.15 "," $32,619.49 "," $86,418.22 ",,," $42,153.71 ",,," $63,519.21 "
88,Chester,Veale,Chester_Veale163@gompie.com,Male,2-843-063-6075,Apple Inc.,Biologist,47,6963 Lake Grove,Bakersfield,Kentucky,67444,FALSE," $7,280.62 "," $36,863.58 "," $20,136.31 ",,," $16,909.69 ",,," $32,556.46 "
89,Eileen,Walton,Eileen_Walton6127@guentu.biz,Female,3-134-628-8822,Comodo,Assistant Buyer,20,8856 Victoria  Alley,Bakersfield,Texas,71570,TRUE," $70,833.00 "," $46,538.65 "," $98,735.62 ",,," $39,839.74 ",,," $59,829.27 "
90,Roger,Benson,Roger_Benson1860@yahoo.com,Male,3-440-671-3843,Boeing,Retail Trainee,74,5499 Arbutus   Rue,Worcester,New Jersey,65789,FALSE," $31,390.00 "," $73,823.07 "," $80,865.18 ",,," $37,895.64 ",,," $5,605.72 "
91,Jacob,Glass,Jacob_Glass8363@zorer.org,Male,5-274-343-0636,Amazon.com,Call Center Representative,57,5315 Balfe   Rue,Honolulu,Tennessee,33027,FALSE," $84,243.21 "," $14,918.36 "," $96,260.24 ",,," $36,295.00 ",,," $63,062.80 "
92,Kenzie,Lane,Kenzie_Lane60@joiniaa.com,Female,0-877-115-1387,Erickson,Service Supervisor,48,3320 Heritage Walk,Madrid,Texas,64521,TRUE," $51,914.82 "," $7,837.63 "," $90,148.69 ",,," $99,601.69 ",,," $43,325.49 "
93,Macy,Trent,Macy_Trent9222@grannar.com,Female,6-167-227-0838,It Smart Group,Staffing Consultant,68,4275 Sheffield Drive,Arlington,Hawaii,52978,TRUE," $17,500.41 "," $60,893.59 "," $28,528.81 ",,," $89,545.95 ",,," $92,433.48 "
94,Doug,Lewis,Doug_Lewis5801@gmail.com,Male,7-116-380-6153,Coca-Cola Company,Assistant Buyer,35,662 Blackall   Crossroad,London,Hawaii,11787,FALSE," $14,026.55 "," $32,725.63 "," $49,953.25 ",,," $64,624.49 ",,," $78,851.99 "
95,Domenic,Avery,Domenic_Avery671@nanoff.biz,Male,3-138-653-1546,AECOM,Mobile Developer,61,5157 Clere  Tunnel,Fayetteville,South Carolina,60863,FALSE," $74,969.78 "," $19,184.10 "," $86,162.93 ",,," $93,472.26 ",,," $31,077.12 "
96,Kaylee,Palmer,Kaylee_Palmer3093@iatim.tech,Female,1-437-235-2104,CarMax,Paramedic,57,6215 Boadicea   Way,Innsbruck,Virginia,48149,TRUE," $5,813.97 "," $94,454.31 "," $14,573.77 ",,," $65,408.81 ",,," $47,913.18 "
97,Teagan,Marshall,Teagan_Marshall6445@sheye.org,Female,3-548-001-5211,Danone,HR Specialist,59,5617 Yoakley Crossroad,Salem,Nevada,71750,FALSE," $73,792.77 "," $95,041.95 "," $43,298.56 ",,," $33,732.04 ",,," $80,164.90 "
98,Elise,White,Elise_White9720@ovock.tech,Female,3-300-060-7360,Apple Inc.,Insurance Broker,68,9313 Cleaver Vale,Bakersfield,South Carolina,22090,FALSE," $29,180.99 "," $44,186.34 "," $97,265.82 ",,," $47,840.61 ",,," $59,784.43 "
99,Marigold,Price,Marigold_Price8573@supunk.biz,Female,5-704-227-3800,Vodafone,Lecturer,35,9398 South Road,Stockton,Idaho,76581,TRUE," $93,777.37 "," $5,002.69 "," $70,135.64 ",,," $58,406.26 ",,," $83,035.71 "
100,Lindsay,Shaw,Lindsay_Shaw3541@dionrab.com,Female,4-348-825-4503,Amazon.com,Fabricator,37,3262 Ampton  Tunnel,Prague,Massachussets,80718,FALSE," $66,615.29 "," $48,685.65 "," $34,272.00 ",,," $13,186.09 ",,," $82,536.58 "
101,Elisabeth,Benfield,Elisabeth_Benfield3033@yahoo.com,Female,7-165-732-2861,Amazon.com,Doctor,69,4333 Calderwood   Road,Quebec,Oregon,40550,FALSE," $53,990.24 "," $86,965.77 "," $70,447.66 ",,," $24,060.92 ",,," $74,300.83 "
102,Juliette,Latham,Juliette_Latham4325@bauros.biz,Female,8-077-626-7038,Amazon.com,Ambulatory Nurse,34,7507 Zealand Drive,Glendale,Missouri,95605,FALSE," $42,765.20 "," $39,321.96 "," $22,178.89 ",,," $40,438.70 ",,," $90,770.41 "
103,Michelle,Holt,Michelle_Holt8624@vetan.org,Female,6-846-227-3415,Amazon.com,Inspector,27,5994 Virginia Crossroad,Prague,New Jersey,13067,TRUE," $68,984.46 "," $8,864.39 "," $58,222.32 ",,," $89,115.65 ",,," $5,968.51 "
104,Martin,Healy,Martin_Healy7888@cispeto.com,Male,5-578-515-7557,Comcast,Lecturer,19,6535 Ernest  Route,Madison,Arizona,67467,TRUE," $98,866.09 "," $72,309.60 "," $32,702.91 ",,," $44,906.60 ",,," $8,887.11 "
