Donor ID,Donor First Name,Donor Last Name,Gender,Phone,Email,State,Has Children,Married,Volunteered before,Engaged with Organization,Own Property,Past served on Board,Employer,Job Area,Salary Estimation,Retired?,Education,Education Area,Active outside Organization,Political Contribution,Donor Age,Joint Mailing Name,Military Affiliate/Veteran,Total Lifetime Donations,2019 Donations,2019 Donations Gave in the Area,2018 Donations,2018 Donations Gave in the Area,2017 Donations,2016 Donations,2015 Donations,2014 Donations,2013 Donations,2012 Donations,2011 Donations,2010 Donations
000-44-1263,Fred,Gordon,Male,3-670-552-7352,Fred_Gordon5994@grannar.com,Hawaii,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Demaco,Accounting,"$98,581",FALSE,Junior college,Design and technology,TRUE,TRUE,69,FALSE,TRUE,"$28,159",$966,Folk Arts,"$2,476",Youth Centers & Clubs,"$1,648","$4,189","$2,106",$656,"$5,670","$4,844","$1,771","$3,833"
000-57-2086,Carolyn,Beal,Female,2-486-521-1318,Carolyn_Beal975@deavo.com,Louisiana,TRUE,FALSE,FALSE,TRUE,FALSE,Unknown,ENEL,Accounting,"$70,942",Unknown,Technical college,Resource Program,TRUE,FALSE,19,Unknown,Unknown,"$40,475","$1,085",Arts Education,"$1,250",Young Mens or Womens Associations,"$8,188","$1,519","$10,588","$5,112",$0,$0,"$5,953","$6,780"
000-58-4184,Jocelyn,Middleton,Female,3-311-481-1166,Jocelyn_Middleton5049@corti.com,California,FALSE,TRUE,FALSE,TRUE,Unknown,Unknown,AECOM,Operations,Unknown,Unknown,Junior college,Language Arts,Unknown,Unknown,44,Unknown,Unknown,"$18,782","$4,737",Arts & Humanities Councils & Agencies,$0,Womens Studies,$0,"$3,723",$0,"$6,748",$0,$0,"$3,574",$0
000-63-2770,Alison,Wills,Female,0-781-030-5270,Alison_Wills5318@supunk.biz,South Carolina,FALSE,TRUE,FALSE,FALSE,Unknown,Unknown,Zepter,Management,"$132,178",Unknown,Junior college,Resource Program,Unknown,Unknown,78,Unknown,Unknown,"$13,712",$803,Community Celebrations,$640,Womens Service Clubs,$0,"$1,998",$0,"$6,521",$0,$0,"$3,750",$0
000-67-1236,Lucas,Aldridge,Male,3-244-805-0463,Lucas_Aldridge1453@extex.org,Maine,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Sales,Unknown,Unknown,Unknown,History,Unknown,Unknown,Unknown,Unknown,Unknown,"$5,403",$0,Media & Communications,$0,Womens Rights,$0,$0,$0,"$5,403",$0,$0,$0,$0
000-72-0654,Liam,Osman,Unknown,1-086-056-5701,Liam_Osman6159@sveldo.biz,Alaska,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Science,Unknown,Unknown,Unknown,Unknown,Unknown,$0,$0,Film & Video,$0,Women's Centers,$0,$0,$0,$0,$0,$0,$0,$0
000-73-7546,Mayleen,Page ,Female,1-041-667-1103,Mayleen_Page 1681@kideod.biz,Montana,TRUE,TRUE,TRUE,FALSE,Unknown,Unknown,Erickson,Operations,"$147,201",Unknown,University college,Spanish,Unknown,Unknown,75,Unknown,Unknown,"$17,034","$2,364",Television,"$1,948",Winter Sports,$0,$837,$0,"$7,079",$0,$0,"$4,806",$0
000-84-3421,Julius,Exton,Male,4-537-000-6307,Julius_Exton5670@ubusive.com,Kentucky,TRUE,TRUE,FALSE,FALSE,FALSE,Unknown,Team Guard SRL,Management,"$147,077",Unknown,Technical college,LOGIC,FALSE,FALSE,54,Unknown,Unknown,"$38,989","$1,516",Printing & Publishing,"$1,875",Wineries,"$1,941","$3,234","$13,090","$7,888",$0,$0,"$5,868","$3,577"
001-08-8006,Elijah,Harper,Male,5-352-330-8803,Elijah_Harper9397@bauros.biz,Texas,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Vodafone,Marketing,"$77,492",Unknown,University-preparatory school,Art,FALSE,TRUE,74,TRUE,TRUE,"$44,519",$229,Radio,"$1,909",Wildlife Sanctuaries,"$3,734","$3,268","$9,699","$9,710",$952,"$9,305","$1,621","$4,092"
001-18-0412,Tom,Weston,Male,0-743-800-7508,Tom_Weston6292@bauros.biz,Georgia,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Sales,Unknown,Unknown,Unknown,Design and technology,Unknown,Unknown,Unknown,Unknown,Unknown,"$2,425",$0,Visual Arts,$0,Wildlife Preservation & Protection,$0,$0,$0,"$2,425",$0,$0,$0,$0
001-22-1315,Brad,Oakley,Male,1-702-646-5644,Brad_Oakley6158@deavo.com,Tennessee,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Marketing,Unknown,Unknown,Unknown,German,Unknown,Unknown,Unknown,Unknown,Unknown,"$7,970",$0,Museums,$0,"Water Resources, Wetlands Conservation & Management",$0,$0,$0,"$7,970",$0,$0,$0,$0
001-43-8553,Brad,Eaton,Male,2-560-618-5344,Brad_Eaton1606@qater.org,West Virginia,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,Zepter,Operations,"$91,580",Unknown,University-preparatory school,Ecology,FALSE,TRUE,78,Unknown,TRUE,"$46,947",$624,Art Museums,$517,Warehouse Clubs and Supercenters,"$2,505","$4,784","$9,531","$4,860","$6,145","$9,404","$4,109","$4,468"
001-48-1754,Leroy,Leslie,Male,4-410-612-0254,Leroy_Leslie8073@fuliss.net,Michigan,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Purchasing,Unknown,Unknown,Unknown,Music,Unknown,Unknown,Unknown,Unknown,Unknown,$122,$0,Children's Museums,$0,Voter Education & Registration,$0,$0,$0,$122,$0,$0,$0,$0
001-55-7114,Johnny,Uttley,Male,7-806-170-0332,Johnny_Uttley9958@guentu.biz,West Virginia,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Purchasing,Unknown,Unknown,Unknown,Handwriting,Unknown,Unknown,Unknown,Unknown,Unknown,"$3,716",$0,Folk Arts Museums<i>(Draft Code - not for internal IRS use)</i>,$0,Volunteers of America,$0,$0,$0,"$3,716",$0,$0,$0,$0
001-74-5887,Goldie,Addison,Female,1-887-137-5703,Goldie_Addison3153@irrepsy.com,Arkansas,FALSE,FALSE,FALSE,TRUE,TRUE,Unknown,Coca-Cola Company,Purchasing,"$44,914",Unknown,High school,Ancient Civilizations,FALSE,TRUE,34,Unknown,FALSE,"$37,600","$7,102",History Museums,"$2,081",Voluntary Health Associations & Medical Disciplines N.E.C.,"$2,358","$1,536","$12,792","$2,831",$0,$0,"$4,084","$4,816"
001-77-6157,Natalie,Lane,Female,5-655-200-1653,Natalie_Lane3830@typill.biz,Missouri,FALSE,FALSE,FALSE,FALSE,TRUE,Unknown,Danone,Management,"$73,227",Unknown,Middle school,Trigonometry,FALSE,TRUE,36,Unknown,Unknown,"$36,862","$6,387",Natural History & Natural Science Museums,"$1,367",Voluntary Health Associations & Medical Disciplines,"$9,945","$1,862","$1,796","$1,517",$0,$0,"$6,283","$7,705"
001-85-7465,Victoria,Gray,Female,6-805-001-1217,Victoria_Gray3770@muall.tech,Tennessee,FALSE,FALSE,FALSE,FALSE,Unknown,Unknown,ENEL,Sales,"$117,691",Unknown,Technical college,Handwriting,Unknown,Unknown,52,Unknown,Unknown,"$16,886","$4,847",Science & Technology Museums,"$1,727",Voluntary Employees Beneficiary Associations Government),$0,$421,$0,"$4,452",$0,$0,"$5,439",$0
002-11-7637,Daron,Darcy,Male,6-172-144-5337,Daron_Darcy9923@zorer.org,Delaware,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Operations,Unknown,Unknown,Unknown,French,Unknown,Unknown,Unknown,Unknown,Unknown,"$9,431",$0,Performing Arts,$0,Voluntary Employees Beneficiary Associations (Non-Government),$0,$0,$0,"$9,431",$0,$0,$0,$0
002-14-3384,Carla,Janes,Female,0-554-260-1802,Carla_Janes7931@typill.biz,Idaho,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,ENEL,Sales,"$146,259",Unknown,Technical college,Music,FALSE,FALSE,28,TRUE,FALSE,"$45,469","$6,499",Performing Arts Centers,"$1,972",Voluntarism Promotion,$753,"$4,243","$12,957","$2,484","$4,145",$148,"$5,444","$6,824"
002-17-8742,Carter,Power,Male,5-646-058-4460,Carter_Power8499@sheye.org,South Dakota,FALSE,FALSE,Unknown,Unknown,Unknown,Unknown,Unknown,Finance,Unknown,Unknown,University-preparatory school,Modern Literature,Unknown,Unknown,Unknown,Unknown,Unknown,"$6,671",$0,Dance,$0,Vocational Rehabilitation,$0,"$3,611",$0,"$3,060",$0,$0,$0,$0
002-22-3208,Chuck,Umney,Male,4-575-731-0038,Chuck_Umney604@bretoux.com,Texas,TRUE,TRUE,FALSE,FALSE,FALSE,Unknown,Carrefour,Marketing,"$104,998",Unknown,Graduate school,Mathematics,TRUE,TRUE,56,Unknown,FALSE,"$37,363","$3,622",Ballet,"$1,286",Vocational Counseling,"$4,927",$145,"$6,440","$8,601","$1,347","$5,970","$4,098",$927
002-26-5353,Angelique,Lowe,Unknown,Unknown,Angelique_Lowe705@atink.com,Florida,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Design and technology,Unknown,Unknown,Unknown,Unknown,Unknown,$0,$0,Theater,$0,Vocational & Technical Schools,$0,$0,$0,$0,$0,$0,$0,$0
002-26-5880,Jacob,Wright,Male,7-268-167-3866,Jacob_Wright2412@extex.org,Tennessee,TRUE,FALSE,FALSE,FALSE,Unknown,Unknown,Amazon.com,Accounting,"$75,984",Unknown,Public university,Dramatics,Unknown,Unknown,54,Unknown,Unknown,"$6,900","$3,433",Music,"$1,753",Visual Arts,$0,$579,$0,$907,$0,$0,$228,$0
002-30-5783,Liam,Eaton,Male,5-201-017-7288,Liam_Eaton8791@mafthy.com,New York,FALSE,TRUE,Unknown,TRUE,Unknown,Unknown,Amazon.com,Operations,Unknown,Unknown,Public university,Instrumental Music,Unknown,Unknown,68,Unknown,Unknown,"$14,439","$2,651",Symphony Orchestras,$0,Victims Services,$0,"$3,836",$0,"$1,706",$0,$0,"$6,246",$0
002-33-6144,Gladys,Coleman,Female,6-517-324-1210,Gladys_Coleman5801@guentu.biz,Texas,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,BuzzFeed,Sales,"$35,964",Unknown,Graduate school,Handwriting,TRUE,TRUE,84,TRUE,TRUE,"$42,879","$1,374",Opera,"$2,557",Veterinary Services,"$4,226","$2,133","$8,959","$4,469","$1,885","$8,751","$4,844","$3,681"
002-37-6586,Nick,Khan,Male,2-782-456-3352,Nick_Khan8629@hourpy.biz,Maryland,TRUE,FALSE,TRUE,TRUE,FALSE,Unknown,Demaco,Sales,"$136,397",Unknown,Gymnasium,Basic Math,FALSE,FALSE,68,Unknown,Unknown,"$31,556","$4,345",Singing & Choral Groups,$112,Urban Studies,"$4,307","$3,362","$5,184","$1,772",$0,$0,"$4,423","$8,051"
002-38-2054,Doug,Hill,Male,6-577-312-4667,Doug_Hill7766@jiman.org,Mississippi,TRUE,FALSE,Unknown,FALSE,Unknown,Unknown,Unknown,Purchasing,Unknown,Unknown,Junior college,Leadership,Unknown,Unknown,46,Unknown,Unknown,"$8,987",$409,Bands & Ensembles,$0,Urban League,$0,"$1,913",$0,"$6,665",$0,$0,$0,$0
002-40-8221,Daniel,Riley,Male,3-046-434-3161,Daniel_Riley1933@jiman.org,Colorado,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Finance,Unknown,Unknown,Unknown,Trigonometry,Unknown,Unknown,Unknown,Unknown,Unknown,"$7,877",$0,Performing Arts Schools,$0,Urban & Community Economic Development,$0,$0,$0,"$7,877",$0,$0,$0,$0
002-48-1870,Nicholas,Shea,Male,8-126-670-5475,Nicholas_Shea8968@elnee.tech,New Jersey,TRUE,TRUE,Unknown,FALSE,Unknown,Unknown,Metro Cash&Carry,Finance,Unknown,Unknown,Graduate school,History,Unknown,Unknown,48,Unknown,Unknown,"$18,320","$7,409",Humanities,$0,Unknown,$0,"$2,947",$0,"$2,899",$0,$0,"$5,065",$0
002-48-4228,Hank,Zaoui,Male,3-845-058-0814,Hank_Zaoui5288@corti.com,Rhode Island,FALSE,FALSE,TRUE,FALSE,Unknown,Unknown,Carrefour,Research and Development,"$115,134",Unknown,Junior college,Mathematics,Unknown,Unknown,40,Unknown,Unknown,"$13,248","$3,190",Historical Organizations,$688,Unknown,$0,"$3,114",$0,"$6,075",$0,$0,$181,$0
002-57-4866,Caleb,Richardson,Male,6-874-746-0885,Caleb_Richardson5929@nimogy.biz,Texas,FALSE,TRUE,TRUE,TRUE,TRUE,Unknown,Vodafone,Research and Development,"$140,024",Unknown,Gymnasium,Art,TRUE,TRUE,55,Unknown,TRUE,"$32,206",$309,Historical Societies & Historic Preservation,"$2,381",Universities,"$9,570","$1,647","$3,567","$4,019","$1,124","$6,218","$1,079","$2,292"
002-58-0712,Tiffany,Martin,Female,7-733-423-0472,Tiffany_Martin332@deavo.com,Ohio,FALSE,FALSE,TRUE,FALSE,Unknown,Unknown,Carrefour,Accounting,Unknown,Unknown,Corporate university,Dramatics,Unknown,Unknown,75,Unknown,Unknown,"$11,791","$2,089",Commemorative Events,$0,United Nations Associations,$0,"$1,001",$0,"$3,983",$0,$0,"$4,718",$0
002-58-2563,Mya,Briggs,Female,6-458-276-6825,Mya_Briggs5404@supunk.biz,Tennessee,FALSE,FALSE,Unknown,Unknown,Unknown,Unknown,Unknown,Accounting,Unknown,Unknown,High school,Ecology,Unknown,Unknown,Unknown,Unknown,Unknown,"$3,245",$0,Arts Services,$0,Undergraduate Colleges,$0,$556,$0,"$2,689",$0,$0,$0,$0
002-62-3081,Ellen,Wright,Female,4-000-007-5342,Ellen_Wright1106@zorer.org,Tennessee,TRUE,TRUE,FALSE,TRUE,Unknown,Unknown,Biolife Grup,Sales,Unknown,Unknown,Gymnasium,Health,Unknown,Unknown,51,Unknown,Unknown,"$23,453","$6,639","Arts, Culture & Humanities N.E.C.",$0,Two-Year Colleges,$0,"$1,910",$0,"$8,776",$0,$0,"$6,128",$0
002-65-0862,Martin,Adams,Male,5-353-242-3047,Martin_Adams2598@sheye.org,Wyoming,TRUE,FALSE,Unknown,Unknown,Unknown,Unknown,Unknown,Finance,Unknown,Unknown,Corporate university,Sociology,Unknown,Unknown,Unknown,Unknown,Unknown,"$12,967",$0,Education,$0,Travelers Aid,$0,"$3,130",$0,"$9,837",$0,$0,$0,$0
002-74-7560,Blake,Exton,Female,3-858-254-8810,Blake_Exton2914@liret.org,Iowa,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Marketing,Unknown,Unknown,Corporate university,Science,Unknown,Unknown,Unknown,Unknown,Unknown,"$10,563",$0,Alliances & Advocacy,$0,Transportation Assistance,$0,$840,$0,"$9,723",$0,$0,$0,$0
002-75-0154,Lucas,Purvis,Unknown,7-542-418-8777,Lucas_Purvis2670@sveldo.biz,Missouri,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,History,Unknown,Unknown,Unknown,Unknown,Unknown,$0,$0,Management & Technical Assistance,$0,Thrift Shops,$0,$0,$0,$0,$0,$0,$0,$0
002-81-2336,Peyton,Bradley,Female,1-176-877-2450,Peyton_Bradley7191@nanoff.biz,Wyoming,FALSE,FALSE,Unknown,FALSE,Unknown,Unknown,Biolife Grup,Finance,Unknown,Unknown,Public university,Spanish,Unknown,Unknown,26,Unknown,Unknown,"$19,529","$5,027",Professional Societies & Associations,$0,Theater,$0,"$2,147",$0,"$7,344",$0,$0,"$5,011",$0
003-03-6443,Katelyn,Myatt,Female,3-070-602-7328,Katelyn_Myatt7084@twace.org,New Jersey,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Design and technology,Unknown,Unknown,Unknown,Unknown,Unknown,"$6,007",$0,Research Institutes & Public Policy Analysis,$0,Temporary Housing,$0,$0,$0,"$6,007",$0,$0,$0,$0
003-04-8260,Nick,Hill,Male,3-806-307-6714,Nick_Hill1707@acrit.org,North Dakota,TRUE,FALSE,FALSE,TRUE,TRUE,Unknown,Mars,Research and Development,"$96,941",Unknown,High school,Latin,TRUE,TRUE,63,Unknown,Unknown,"$25,557","$1,838",Single Organization Support,"$2,331",Television,"$6,820","$4,164","$2,236","$5,112",$0,$0,"$1,853","$1,203"
003-15-3217,Bob,Kirby,Unknown,3-003-484-2113,Bob_Kirby6181@elnee.tech,Illinois,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Speech,Unknown,Unknown,Unknown,Unknown,Unknown,$0,$0,Fund Raising & Fund Distribution,$0,Telecommunications,$0,$0,$0,$0,$0,$0,$0,$0
003-22-7271,Johnathan,Selby,Unknown,6-244-884-2845,Johnathan_Selby12@bungar.biz,Tennessee,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Accounting,Unknown,Unknown,Unknown,Unknown,Unknown,$0,$0,Support N.E.C.,$0,Teachers Retirement Fund Associations,$0,$0,$0,$0,$0,$0,$0,$0
003-24-0258,Rick,Moss,Male,6-313-544-4710,Rick_Moss9285@bretoux.com,Vermont,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Telekom,Finance,"$53,708",Unknown,Gymnasium,Modern Literature,TRUE,FALSE,29,TRUE,TRUE,"$45,924","$3,632",Elementary & Secondary Schools,"$2,499",Symphony Orchestras,$601,$965,"$9,296","$4,826","$5,615","$7,881","$3,682","$6,927"
003-33-6275,Javier,Evans,Unknown,8-570-837-8178,Javier_Evans6105@infotech44.tech,Florida,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,French,Unknown,Unknown,Unknown,Unknown,Unknown,$0,$0,Preschools,$0,Swimming & Other Water Recreation,$0,$0,$0,$0,$0,$0,$0,$0
003-37-3752,Domenic,Roberts,Unknown,Unknown,Domenic_Roberts9313@gembat.biz,Virginia,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Sociology,Unknown,Unknown,Unknown,Unknown,Unknown,$0,$0,Primary & Elementary Schools,$0,Surgical Specialties Research,$0,$0,$0,$0,$0,$0,$0,$0
003-44-2863,Luke,Adams,Male,4-135-051-8484,Luke_Adams8552@hourpy.biz,Rhode Island,TRUE,TRUE,TRUE,TRUE,Unknown,Unknown,Vodafone,Management,"$69,839",Unknown,University-preparatory school,Speech,Unknown,Unknown,27,Unknown,Unknown,"$9,163","$1,825",Secondary & High Schools,$300,Surgical Specialties,$0,"$3,875",$0,$108,$0,$0,"$3,055",$0
003-78-4744,Danielle,Underhill,Female,1-316-382-1307,Danielle_Underhill4082@deons.tech,Montana,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,DynCorp,Accounting,"$99,271",Unknown,High school,Handwriting,FALSE,TRUE,35,FALSE,FALSE,"$44,403","$2,032",Special Education,"$2,474",Supportive Housing for Older Adults,"$7,666","$3,140","$6,339","$1,209","$3,443","$5,391","$6,679","$6,030"
003-80-6577,Manuel,Reid,Male,2-636-050-1563,Manuel_Reid1473@naiker.biz,Virginia,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,LOGIC,Unknown,Unknown,Unknown,Unknown,Unknown,$966,$0,Charter Schools,$0,Support N.E.C.,$0,$0,$0,$966,$0,$0,$0,$0
003-82-7588,Alexander,Driscoll,Male,4-346-604-6617,Alexander_Driscoll137@joiniaa.com,Pennsylvania,TRUE,TRUE,FALSE,FALSE,TRUE,Unknown,Amazon.com,Marketing,"$62,834",Unknown,University-preparatory school,Basic Math,Unknown,Unknown,82,Unknown,Unknown,"$22,286","$7,448",Vocational & Technical Schools,"$1,904",Support N.E.C.,$0,"$1,300",$126,"$3,814",$0,$0,"$6,546","$1,148"
003-84-2261,John,Edwards,Male,0-403-201-7425,John_Edwards8693@gembat.biz,Iowa,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Boeing,Accounting,"$64,322",Unknown,Gymnasium,Language Arts,FALSE,TRUE,33,FALSE,TRUE,"$32,132","$1,974",Higher Education,"$1,515",Support N.E.C.,"$6,703",$170,"$3,789","$1,767","$1,227","$7,041","$6,009","$1,937"
003-86-6783,Mavis,Needham,Female,7-573-212-3776,Mavis_Needham6855@deons.tech,Indiana,FALSE,TRUE,FALSE,FALSE,Unknown,Unknown,Telekom,IT,"$67,602",Unknown,High school,Basic Math,Unknown,Unknown,82,Unknown,Unknown,"$19,399","$7,090",Two-Year Colleges,"$1,382",Support N.E.C.,$0,$581,$0,"$4,496",$0,$0,"$1,142","$4,708"
004-15-5472,Leroy,Fox,Male,6-820-075-5835,Leroy_Fox2867@gembat.biz,Oregon,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,Carrefour,Purchasing,"$44,271",Unknown,Public university,Economics,TRUE,TRUE,55,FALSE,FALSE,"$49,581","$1,247",Undergraduate Colleges,"$2,367",Support N.E.C.,"$9,823","$2,614","$6,989","$2,342","$5,320","$8,269","$3,936","$6,674"
004-16-1732,Sarah,Penn,Unknown,Unknown,Unknown,Arkansas,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Mathematics,Unknown,Unknown,Unknown,Unknown,Unknown,$0,$0,Universities,$0,Support N.E.C.,$0,$0,$0,$0,$0,$0,$0,$0
004-23-8351,Rick,Alcroft,Male,7-580-776-6408,Rick_Alcroft906@bulaffy.com,Utah,FALSE,FALSE,Unknown,Unknown,Unknown,Unknown,Unknown,Research and Development,Unknown,Unknown,Corporate university,Modern Literature,Unknown,Unknown,Unknown,Unknown,Unknown,"$4,860",$0,Graduate & Professional Schools,$0,Support N.E.C.,$0,"$3,923",$0,$937,$0,$0,$0,$0
004-25-1868,Ramon,Brett,Male,3-278-508-5636,Ramon_Brett5539@bungar.biz,Oregon,FALSE,FALSE,FALSE,FALSE,Unknown,Unknown,Zepter,Accounting,Unknown,Unknown,Junior college,Spanish,Unknown,Unknown,44,Unknown,Unknown,"$25,564","$7,319",Adult Education,$0,Support N.E.C.,$0,"$4,557",$0,"$8,255",$0,$0,"$5,433",$0
004-26-0524,Willow,Jennson,Female,6-667-572-7341,Willow_Jennson4573@typill.biz,Rhode Island,TRUE,FALSE,FALSE,TRUE,Unknown,Unknown,Coca-Cola Company,Marketing,Unknown,Unknown,University college,Geography,Unknown,Unknown,80,Unknown,Unknown,"$11,500",$773,Libraries,$0,Support N.E.C.,$0,"$2,222",$0,"$3,437",$0,$0,"$5,068",$0
004-51-8013,Rick,Parker,Male,2-663-610-8128,Rick_Parker9340@cispeto.com,Idaho,TRUE,FALSE,FALSE,FALSE,Unknown,Unknown,BuzzFeed,Operations,"$138,171",Unknown,Middle school,Art,Unknown,Unknown,59,Unknown,Unknown,"$21,701","$7,264",Student Services,"$2,378",Support N.E.C.,$0,$98,$0,"$6,077",$0,$0,"$1,853","$4,031"
